epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,10542.7,1.04324,0.77871,0.8606,0.72696,0.47108,0.54049,0.38697,1.05412,0.86258,0.86968,0.00463579,0.00463579,0.00463579
81,10670.9,1.04313,0.78619,0.85922,0.71773,0.47225,0.54123,0.38769,1.05413,0.86141,0.86955,0.00453258,0.00453258,0.00453258
82,10799.6,1.04903,0.78288,0.85909,0.71555,0.47253,0.54136,0.38726,1.05384,0.86048,0.86943,0.0044296,0.0044296,0.0044296
83,10928.8,1.03526,0.77927,0.8583,0.71897,0.47121,0.54134,0.38763,1.05354,0.85912,0.86929,0.00432689,0.00432689,0.00432689
84,11056.9,1.03746,0.76723,0.857,0.71805,0.47149,0.54196,0.38808,1.05317,0.85775,0.8692,0.00422449,0.00422449,0.00422449
85,11186.7,1.031,0.76265,0.85863,0.70531,0.47458,0.54217,0.38792,1.05275,0.85656,0.86888,0.00412246,0.00412246,0.00412246
86,11324.6,1.03868,0.77208,0.85786,0.72385,0.46758,0.54226,0.38818,1.05311,0.85593,0.86898,0.00402084,0.00402084,0.00402084
87,11464.1,1.02632,0.75305,0.85839,0.72571,0.46642,0.54293,0.38868,1.05296,0.85583,0.86894,0.00391966,0.00391966,0.00391966
88,11600.6,1.02872,0.7585,0.85668,0.723,0.46627,0.54321,0.389,1.05174,0.85546,0.86889,0.00381899,0.00381899,0.00381899
89,11737.9,1.0178,0.74585,0.85549,0.72442,0.46618,0.5434,0.38929,1.05108,0.85583,0.86874,0.00371885,0.00371885,0.00371885
90,11873.8,1.01739,0.74493,0.85351,0.7252,0.46473,0.54346,0.38985,1.05085,0.85674,0.86872,0.00361929,0.00361929,0.00361929
91,12000.3,1.02079,0.74426,0.85557,0.72387,0.46741,0.54363,0.38993,1.04981,0.85617,0.86852,0.00352037,0.00352037,0.00352037
92,12126.3,1.02372,0.74738,0.8545,0.72346,0.46564,0.54393,0.39036,1.04974,0.85568,0.86841,0.00342211,0.00342211,0.00342211
93,12252.1,1.00588,0.73248,0.85286,0.72288,0.46751,0.54415,0.38993,1.04945,0.85592,0.86841,0.00332457,0.00332457,0.00332457
94,12377.6,1.00713,0.73157,0.85111,0.72215,0.46726,0.54417,0.38982,1.05003,0.85608,0.86841,0.00322778,0.00322778,0.00322778
95,12503,1.00386,0.72588,0.85003,0.72028,0.46912,0.54503,0.39028,1.04893,0.85566,0.86815,0.0031318,0.0031318,0.0031318
96,12628.7,0.99653,0.72215,0.85063,0.7106,0.47301,0.54555,0.39067,1.04836,0.85539,0.86797,0.00303665,0.00303665,0.00303665
97,12754.4,0.99456,0.71772,0.84662,0.70808,0.47412,0.54594,0.39086,1.04829,0.85533,0.86817,0.00294239,0.00294239,0.00294239
98,12880.1,0.99007,0.71425,0.84948,0.70895,0.47318,0.54574,0.38993,1.04774,0.85542,0.86799,0.00284906,0.00284906,0.00284906
99,13005.8,1.00586,0.72628,0.8479,0.7086,0.47346,0.5458,0.39008,1.04745,0.85561,0.86797,0.00275668,0.00275668,0.00275668
100,13131.5,0.99333,0.71342,0.84648,0.7109,0.47337,0.546,0.39085,1.04686,0.85523,0.86778,0.00266532,0.00266532,0.00266532
101,13257.3,0.98417,0.70521,0.84885,0.71134,0.47384,0.54558,0.38939,1.04653,0.85518,0.86769,0.002575,0.002575,0.002575
102,13383.8,0.98118,0.70089,0.84739,0.71333,0.47331,0.54561,0.3896,1.04724,0.85577,0.86758,0.00248577,0.00248577,0.00248577
103,13510.1,0.9813,0.70142,0.84213,0.71582,0.47221,0.54547,0.3895,1.04633,0.85585,0.86738,0.00239766,0.00239766,0.00239766
104,13636.1,0.9706,0.69073,0.84326,0.71843,0.47214,0.54519,0.3889,1.04623,0.85585,0.86731,0.00231071,0.00231071,0.00231071
105,13762.4,0.97696,0.69337,0.84433,0.71911,0.4719,0.54537,0.38959,1.04559,0.85525,0.86721,0.00222497,0.00222497,0.00222497
106,13888.8,0.95742,0.68047,0.84352,0.7196,0.47259,0.54545,0.38885,1.04552,0.85602,0.86713,0.00214046,0.00214046,0.00214046
107,14015.4,0.96733,0.68158,0.84187,0.72225,0.47143,0.54551,0.38973,1.04554,0.85588,0.8672,0.00205723,0.00205723,0.00205723
108,14141.7,0.96399,0.68102,0.84217,0.72011,0.47224,0.54596,0.3896,1.04503,0.85606,0.8671,0.00197532,0.00197532,0.00197532
109,14267.2,0.96229,0.67685,0.84282,0.7193,0.47194,0.54632,0.3896,1.04514,0.85559,0.86698,0.00189475,0.00189475,0.00189475
110,14392.1,0.95156,0.67013,0.84156,0.72058,0.473,0.54637,0.39009,1.04482,0.85555,0.86694,0.00181557,0.00181557,0.00181557
111,14516.9,0.96267,0.67629,0.8389,0.72002,0.4742,0.54611,0.38977,1.04459,0.85482,0.86691,0.0017378,0.0017378,0.0017378
112,14641.5,0.95484,0.66743,0.84022,0.72359,0.47101,0.54618,0.39048,1.04475,0.8542,0.86683,0.00166149,0.00166149,0.00166149
113,14766.1,0.94492,0.6629,0.84125,0.72474,0.47289,0.54655,0.39075,1.04514,0.85459,0.86691,0.00158667,0.00158667,0.00158667
114,14890.9,0.94189,0.66123,0.83839,0.72537,0.47251,0.54653,0.39102,1.04517,0.85498,0.86683,0.00151336,0.00151336,0.00151336
115,15016.8,0.94039,0.65433,0.83819,0.72372,0.47336,0.54639,0.39104,1.04551,0.8554,0.86687,0.00144161,0.00144161,0.00144161
116,15143.2,0.94271,0.65852,0.83894,0.72679,0.47323,0.5466,0.39115,1.04528,0.85461,0.86695,0.00137143,0.00137143,0.00137143
117,15269.5,0.9447,0.6543,0.83407,0.72828,0.47238,0.54643,0.39059,1.04515,0.85463,0.86693,0.00130287,0.00130287,0.00130287
118,15397.4,0.93962,0.65034,0.83756,0.72847,0.47318,0.54666,0.39155,1.04495,0.85527,0.86683,0.00123596,0.00123596,0.00123596
119,15525.3,0.93499,0.6442,0.83667,0.72831,0.47473,0.54739,0.39143,1.04521,0.8562,0.86682,0.00117072,0.00117072,0.00117072
120,15651.2,0.93174,0.64639,0.83642,0.73113,0.47326,0.5475,0.39177,1.04489,0.85597,0.86673,0.00110718,0.00110718,0.00110718
121,15776.7,0.93298,0.64407,0.83578,0.73176,0.47316,0.54722,0.39194,1.04522,0.85641,0.86677,0.00104537,0.00104537,0.00104537
122,15902.9,0.92143,0.63579,0.8314,0.72865,0.47198,0.54696,0.39126,1.04554,0.85633,0.86682,0.000985311,0.000985311,0.000985311
123,16028.6,0.92562,0.64433,0.83415,0.73391,0.46996,0.54714,0.39101,1.04569,0.85699,0.86695,0.00092704,0.00092704,0.00092704
