epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,35141.5,1.32867,1.77412,0.84548,0.38867,0.29985,0.29607,0.21304,1.22399,1.54513,0.8351,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,35511.1,1.33149,1.75529,0.84373,0.39018,0.30095,0.29556,0.21304,1.22319,1.54349,0.8351,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,35879.4,1.32626,1.73923,0.84353,0.39232,0.3001,0.29558,0.21311,1.22155,1.54204,0.83476,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,36247,1.31923,1.74963,0.84548,0.39195,0.30002,0.29622,0.21365,1.22131,1.54089,0.83458,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,36614.5,1.31989,1.75001,0.84557,0.39478,0.30009,0.29605,0.21352,1.22026,1.53977,0.83454,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,36980.3,1.31094,1.72783,0.84244,0.39409,0.30053,0.29622,0.21371,1.21957,1.5388,0.83446,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,37348,1.32255,1.74106,0.84261,0.39792,0.30089,0.29678,0.21395,1.21815,1.53738,0.83414,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,37714.4,1.31816,1.73048,0.84288,0.39845,0.30105,0.29707,0.21414,1.21718,1.53676,0.83393,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,38080.2,1.32125,1.73652,0.84372,0.40177,0.30099,0.29774,0.21487,1.21546,1.53557,0.8336,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,38448,1.31125,1.72359,0.84313,0.40267,0.30137,0.29812,0.21517,1.21483,1.53445,0.83331,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,38816.4,1.31593,1.72434,0.84399,0.40376,0.30193,0.29934,0.21632,1.2138,1.53388,0.833,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,39183.6,1.30628,1.7153,0.84298,0.4022,0.30209,0.29966,0.21644,1.21234,1.53267,0.83281,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,39550.4,1.32,1.71857,0.84434,0.40314,0.30158,0.29997,0.21701,1.21223,1.53177,0.83261,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,39917.7,1.30634,1.70598,0.83839,0.40417,0.30229,0.30051,0.21764,1.21021,1.53015,0.83226,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,40287.9,1.31736,1.71714,0.84133,0.40315,0.30372,0.3013,0.21812,1.20943,1.5287,0.83212,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,40653.8,1.30773,1.71478,0.84096,0.40426,0.30422,0.301,0.21802,1.2083,1.52719,0.83188,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,41023.1,1.31188,1.70711,0.83903,0.4026,0.30458,0.30146,0.21837,1.20704,1.52591,0.83156,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,41391.3,1.30791,1.7011,0.84107,0.40312,0.30612,0.302,0.2191,1.20603,1.52484,0.83138,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,41759,1.30554,1.68998,0.83969,0.40024,0.30729,0.30225,0.21918,1.20472,1.52432,0.83118,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,42124.7,1.30369,1.688,0.84042,0.40351,0.3081,0.30229,0.21919,1.20443,1.52415,0.83101,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,42492.3,1.29711,1.68866,0.83974,0.40942,0.30584,0.30299,0.21961,1.2037,1.52305,0.83094,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,42860.3,1.29154,1.67794,0.84026,0.40956,0.30561,0.30354,0.22003,1.20301,1.52226,0.8308,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,43228.8,1.29996,1.67698,0.84118,0.40907,0.30717,0.30443,0.22083,1.20152,1.52094,0.83059,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,43595,1.29459,1.67606,0.83872,0.40943,0.30698,0.30465,0.22088,1.20053,1.52027,0.8305,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,43961.6,1.30437,1.68616,0.84009,0.41495,0.30551,0.30506,0.22116,1.19963,1.51901,0.83031,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,44330.1,1.30057,1.67077,0.83959,0.41109,0.30987,0.30549,0.22154,1.19814,1.51769,0.83027,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,44698.6,1.29453,1.6676,0.83726,0.41159,0.30931,0.30586,0.22189,1.19704,1.51655,0.83013,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,45067.7,1.28778,1.66902,0.84043,0.41402,0.31078,0.30701,0.22267,1.19637,1.51676,0.83003,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,45434.9,1.28927,1.65502,0.83776,0.41233,0.31071,0.30753,0.22327,1.19506,1.51617,0.83002,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,45802.4,1.28964,1.65754,0.83638,0.41166,0.3099,0.30864,0.22448,1.19437,1.51575,0.82987,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,46171.3,1.29474,1.66665,0.83722,0.4121,0.31058,0.30903,0.22476,1.19364,1.5143,0.82977,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,46541.1,1.28606,1.65761,0.83813,0.41311,0.31023,0.30962,0.22541,1.19316,1.5133,0.8297,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,46914.6,1.28694,1.64692,0.83844,0.41247,0.31053,0.31074,0.22594,1.19265,1.51279,0.82965,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,47291.8,1.27677,1.63069,0.83621,0.41457,0.30973,0.31107,0.22618,1.19273,1.51235,0.82961,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,47670.3,1.28357,1.64428,0.8356,0.41556,0.31023,0.31154,0.22645,1.19207,1.51139,0.82954,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,48039.6,1.2846,1.63745,0.83478,0.41587,0.30928,0.31165,0.22659,1.19135,1.51139,0.82955,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,48409.5,1.27828,1.62164,0.83371,0.41437,0.30948,0.31198,0.2267,1.18999,1.51078,0.82932,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,48779,1.28516,1.62311,0.83407,0.41181,0.30937,0.31243,0.22729,1.18877,1.51027,0.82918,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,49151.6,1.27408,1.61488,0.83493,0.41251,0.30926,0.31264,0.22759,1.18769,1.51031,0.82914,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,49519.9,1.27614,1.61814,0.83564,0.41389,0.30974,0.31294,0.22812,1.18721,1.50918,0.829,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,49891.1,1.27413,1.61585,0.83547,0.41385,0.31117,0.3135,0.2285,1.18602,1.50788,0.82889,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
