epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,6376.03,1.16335,0.97428,0.88403,0.60532,0.37111,0.43049,0.30287,1.16513,1.07052,0.89032,0.00381899,0.00381899,0.00381899
89,6455.26,1.16116,0.98357,0.88206,0.61046,0.37034,0.43122,0.30256,1.16485,1.07033,0.89022,0.00371885,0.00371885,0.00371885
90,6534.85,1.16643,0.98544,0.88199,0.62006,0.3702,0.43143,0.30322,1.16455,1.07019,0.89015,0.00361929,0.00361929,0.00361929
91,6614.23,1.15696,0.97828,0.88128,0.61648,0.37181,0.43112,0.30312,1.16432,1.07023,0.89017,0.00352037,0.00352037,0.00352037
92,6693.3,1.15934,0.96432,0.87812,0.61742,0.37157,0.43142,0.30323,1.16357,1.06982,0.89006,0.00342211,0.00342211,0.00342211
93,6772.42,1.15344,0.95751,0.88262,0.61691,0.37102,0.43119,0.30304,1.16317,1.06965,0.88994,0.00332457,0.00332457,0.00332457
94,6851.76,1.15746,0.97231,0.87927,0.61492,0.37208,0.43158,0.30322,1.16368,1.06901,0.88994,0.00322778,0.00322778,0.00322778
95,6931.58,1.14744,0.94708,0.88244,0.61473,0.37102,0.43177,0.30331,1.16244,1.06944,0.8896,0.0031318,0.0031318,0.0031318
96,7010.45,1.14242,0.94829,0.87827,0.62063,0.37037,0.43232,0.30357,1.16093,1.06888,0.88948,0.00303665,0.00303665,0.00303665
97,7089.9,1.14643,0.94894,0.87935,0.62242,0.36948,0.43265,0.30393,1.1612,1.06871,0.88941,0.00294239,0.00294239,0.00294239
98,7169.49,1.14246,0.94444,0.87728,0.62487,0.36836,0.43207,0.30367,1.16089,1.0677,0.88923,0.00284906,0.00284906,0.00284906
99,7248.54,1.15115,0.94622,0.87964,0.62038,0.36816,0.43224,0.30332,1.1604,1.0675,0.88913,0.00275668,0.00275668,0.00275668
100,7327.79,1.14892,0.94682,0.87761,0.61843,0.36749,0.4324,0.30365,1.16051,1.068,0.88893,0.00266532,0.00266532,0.00266532
101,7407.27,1.13039,0.93269,0.87675,0.61507,0.36678,0.43225,0.30372,1.15907,1.06676,0.88878,0.002575,0.002575,0.002575
102,7486.67,1.13046,0.93074,0.87423,0.61523,0.36815,0.43204,0.30377,1.158,1.06487,0.88855,0.00248577,0.00248577,0.00248577
103,7565.83,1.12981,0.92989,0.87387,0.61387,0.36733,0.43263,0.30419,1.15778,1.06403,0.88852,0.00239766,0.00239766,0.00239766
104,7645.04,1.12326,0.91888,0.87385,0.61616,0.3662,0.43343,0.30467,1.15751,1.06353,0.88839,0.00231071,0.00231071,0.00231071
105,7724.29,1.12379,0.91549,0.86971,0.6157,0.36652,0.43388,0.30471,1.15685,1.06193,0.88826,0.00222497,0.00222497,0.00222497
106,7804.39,1.11746,0.91267,0.87263,0.61641,0.36675,0.43444,0.30517,1.15646,1.06127,0.88819,0.00214046,0.00214046,0.00214046
107,7884.06,1.12894,0.92635,0.87189,0.61074,0.36814,0.43438,0.30511,1.15707,1.06087,0.88819,0.00205723,0.00205723,0.00205723
108,7963.64,1.12813,0.9191,0.87062,0.60725,0.37463,0.43505,0.30557,1.15623,1.05959,0.88808,0.00197532,0.00197532,0.00197532
109,8043.23,1.11156,0.90072,0.87084,0.62424,0.36791,0.4352,0.3056,1.1563,1.05916,0.88808,0.00189475,0.00189475,0.00189475
110,8122.59,1.11215,0.90499,0.87084,0.62505,0.36809,0.43536,0.30596,1.15628,1.05934,0.88807,0.00181557,0.00181557,0.00181557
111,8201.93,1.11056,0.90857,0.86462,0.62056,0.36792,0.43553,0.30596,1.15536,1.05712,0.8878,0.0017378,0.0017378,0.0017378
112,8280.78,1.10603,0.89818,0.86676,0.61227,0.37135,0.43565,0.30631,1.15558,1.05708,0.88775,0.00166149,0.00166149,0.00166149
113,8360.9,1.11588,0.90507,0.86838,0.6137,0.37106,0.43584,0.30608,1.15544,1.05558,0.88768,0.00158667,0.00158667,0.00158667
114,8440.77,1.09393,0.88852,0.86733,0.61163,0.37261,0.43616,0.30613,1.15521,1.05546,0.88753,0.00151336,0.00151336,0.00151336
115,8520.06,1.10036,0.88194,0.86597,0.60933,0.37385,0.43624,0.30595,1.15543,1.05577,0.88741,0.00144161,0.00144161,0.00144161
116,8598.96,1.09862,0.8949,0.86517,0.60836,0.37497,0.43609,0.30589,1.15462,1.0547,0.88733,0.00137143,0.00137143,0.00137143
117,8678.32,1.10222,0.88893,0.86661,0.60607,0.3765,0.43663,0.30638,1.15476,1.05434,0.88726,0.00130287,0.00130287,0.00130287
118,8757.57,1.09001,0.8796,0.86584,0.60601,0.37666,0.4368,0.30663,1.15475,1.0536,0.88718,0.00123596,0.00123596,0.00123596
119,8836.65,1.09965,0.88093,0.86174,0.60589,0.37698,0.43696,0.30655,1.15558,1.0535,0.88716,0.00117072,0.00117072,0.00117072
120,8915.92,1.09321,0.87488,0.86435,0.60722,0.37675,0.43728,0.30674,1.156,1.05312,0.88704,0.00110718,0.00110718,0.00110718
121,8994.7,1.08377,0.8687,0.86625,0.60947,0.37672,0.43658,0.30613,1.15595,1.05361,0.88697,0.00104537,0.00104537,0.00104537
122,9074.32,1.07798,0.86953,0.86075,0.60884,0.37641,0.43693,0.30643,1.1557,1.05292,0.88694,0.000985311,0.000985311,0.000985311
123,9153.31,1.08381,0.86397,0.86321,0.60876,0.37653,0.43722,0.30641,1.15588,1.05365,0.88666,0.00092704,0.00092704,0.00092704
124,9232.46,1.08312,0.87084,0.86317,0.60442,0.37774,0.43745,0.30707,1.15605,1.0542,0.88662,0.000870577,0.000870577,0.000870577
125,9311.84,1.08766,0.86675,0.85923,0.6053,0.3778,0.43792,0.30699,1.15512,1.05371,0.88649,0.000815947,0.000815947,0.000815947
126,9390.57,1.08369,0.86679,0.8614,0.60759,0.37763,0.43817,0.30741,1.15583,1.05421,0.88643,0.000763174,0.000763174,0.000763174
127,9470.17,1.07544,0.85495,0.86004,0.60513,0.37781,0.43831,0.30736,1.15539,1.05402,0.88639,0.000712282,0.000712282,0.000712282
128,9548.82,1.07554,0.86076,0.86162,0.60518,0.3773,0.4384,0.3075,1.15538,1.05549,0.88628,0.000663292,0.000663292,0.000663292
129,9627.83,1.08064,0.86422,0.86074,0.60666,0.37648,0.43862,0.30729,1.15571,1.05554,0.88632,0.000616227,0.000616227,0.000616227
130,9707.28,1.07369,0.84959,0.85761,0.60783,0.37663,0.43929,0.30777,1.15561,1.05528,0.88618,0.000571106,0.000571106,0.000571106
131,9786.88,1.07621,0.86221,0.8593,0.61002,0.37607,0.43945,0.30763,1.15495,1.05424,0.8861,0.00052795,0.00052795,0.00052795
132,9865.91,1.06724,0.84785,0.85984,0.61188,0.37424,0.43952,0.30796,1.15417,1.05469,0.88587,0.000486777,0.000486777,0.000486777
133,9945.38,1.06502,0.84435,0.85901,0.61231,0.37462,0.43999,0.30829,1.15484,1.05608,0.88584,0.000447606,0.000447606,0.000447606
134,10025.2,1.06421,0.83895,0.85602,0.61226,0.37406,0.43981,0.30852,1.15453,1.05561,0.88582,0.000410454,0.000410454,0.000410454
135,10104.7,1.06652,0.84408,0.85864,0.61094,0.37447,0.43994,0.30865,1.15393,1.05601,0.88555,0.000375337,0.000375337,0.000375337
136,10183.8,1.06457,0.84763,0.85312,0.60875,0.37479,0.43986,0.30862,1.15382,1.0567,0.88555,0.00034227,0.00034227,0.00034227
137,10264.2,1.05989,0.835,0.85735,0.60806,0.37481,0.43952,0.30847,1.15366,1.0571,0.8854,0.000311268,0.000311268,0.000311268
138,10344,1.05697,0.83563,0.85694,0.61359,0.3728,0.44003,0.3088,1.15353,1.05727,0.88546,0.000282345,0.000282345,0.000282345
139,10423.9,1.05736,0.83655,0.85619,0.61074,0.37521,0.44021,0.30867,1.1538,1.05791,0.88528,0.000255513,0.000255513,0.000255513
140,10505.3,1.05397,0.83428,0.85766,0.6075,0.37776,0.44031,0.30878,1.15405,1.05841,0.88534,0.000230784,0.000230784,0.000230784
141,10602.4,0.9364,0.69054,0.85945,0.61041,0.38055,0.4408,0.30904,1.15394,1.05923,0.88511,0.000208169,0.000208169,0.000208169
142,10679.6,0.93118,0.68639,0.86106,0.61754,0.37734,0.44071,0.30931,1.15292,1.05875,0.88501,0.000187678,0.000187678,0.000187678
