epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,394.136,0.81845,0.58545,1.01106,0.92569,0.87742,0.94164,0.75574,0.80389,0.48647,1.08848,0.00226769,0.00226769,0.00226769
71,525.301,0.81276,0.5757,1.00874,0.92727,0.87689,0.94127,0.75473,0.80315,0.48628,1.08784,0.00214046,0.00214046,0.00214046
72,656.34,0.81556,0.57652,1.01036,0.92686,0.87766,0.94126,0.75545,0.80263,0.48572,1.08772,0.00201611,0.00201611,0.00201611
73,790.726,0.81112,0.57529,1.00595,0.92743,0.87736,0.94121,0.75516,0.8026,0.48584,1.08786,0.00189475,0.00189475,0.00189475
74,925.124,0.81572,0.57586,1.00517,0.92639,0.87761,0.94162,0.75565,0.80252,0.48591,1.08795,0.00177651,0.00177651,0.00177651
75,1055.43,0.80526,0.56777,1.00423,0.92621,0.8769,0.94179,0.75514,0.80224,0.48549,1.08794,0.00166149,0.00166149,0.00166149
76,1186.59,0.80774,0.57031,1.00586,0.92625,0.87621,0.94176,0.75561,0.80211,0.48513,1.08802,0.00154982,0.00154982,0.00154982
77,1316.74,0.81536,0.57907,1.00906,0.92539,0.87688,0.94153,0.7557,0.80177,0.48476,1.08808,0.00144161,0.00144161,0.00144161
78,1452.17,0.81081,0.56556,1.0107,0.92555,0.87705,0.9417,0.75572,0.80177,0.48432,1.08848,0.00133695,0.00133695,0.00133695
79,1583.36,0.81855,0.57941,1.00972,0.92593,0.87676,0.94147,0.75537,0.80167,0.48406,1.08845,0.00123596,0.00123596,0.00123596
80,1718.63,0.82403,0.5836,1.01431,0.92439,0.87875,0.9411,0.75517,0.80163,0.48324,1.08846,0.00113873,0.00113873,0.00113873
81,1855.66,0.8277,0.58912,1.01496,0.92268,0.88032,0.94089,0.75476,0.80144,0.48306,1.08842,0.00104537,0.00104537,0.00104537
82,1989.31,0.8339,0.58797,1.01448,0.92498,0.87817,0.94101,0.75522,0.8015,0.48291,1.08857,0.000955951,0.000955951,0.000955951
83,2121.25,0.83157,0.58696,1.01549,0.92451,0.87736,0.94087,0.7548,0.80174,0.48268,1.08883,0.000870577,0.000870577,0.000870577
84,2254.2,0.83351,0.58365,1.01676,0.92677,0.87582,0.9408,0.7548,0.8017,0.48243,1.08896,0.000789327,0.000789327,0.000789327
85,2384.73,0.82765,0.58556,1.01841,0.92534,0.87674,0.94076,0.75502,0.80186,0.48249,1.08917,0.000712282,0.000712282,0.000712282
86,2517.58,0.82598,0.57516,1.01148,0.89395,0.9035,0.94065,0.75489,0.80188,0.48194,1.08928,0.000639518,0.000639518,0.000639518
87,2666.63,0.82604,0.57976,1.01263,0.90048,0.89508,0.9408,0.7545,0.80173,0.48158,1.08931,0.000571106,0.000571106,0.000571106
88,2802.14,0.81879,0.56825,1.00812,0.91753,0.87849,0.94057,0.75436,0.80204,0.48119,1.0895,0.000507115,0.000507115,0.000507115
89,2933.31,0.82172,0.57736,1.01211,0.89846,0.89739,0.94048,0.75434,0.80182,0.48106,1.08959,0.000447606,0.000447606,0.000447606
90,3067.3,0.81814,0.57239,1.00866,0.89784,0.89783,0.94044,0.7547,0.80177,0.48121,1.08977,0.00039264,0.00039264,0.00039264
